20200208,宝山,淞宝,宝山二村，舒适大一居，中间楼层，好房等你来,235万,1室1厅 | 56.93平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_7mo2BVzg6.jpg.296x216.jpg
20200208,宝山,淞宝,华能城市花园电梯房，低楼层  走电梯和楼梯都方便,523万,2室2厅 | 95.16平米 | 南 | 精装 | 低楼层(共11层) | 2001年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XdT0F6IXR.jpg.296x216.jpg
20200208,宝山,淞宝,海江二村 非顶楼 T户型  满五唯一 位置好,155万,1室1厅 | 40.49平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4AY1Hxs8y.jpg.296x216.jpg
20200208,宝山,淞宝,宝林二村 1室1厅 170万,170万,1室1厅 | 38.38平米 | 南 | 简装 | 低楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_HYkVkJzJB.jpg.296x216.jpg
20200208,宝山,淞宝,永清新村 一室一厅 高楼层 满五年 诚意出售,148万,1室1厅 | 43.4平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_hNZ5BMDtG.jpg.296x216.jpg
20200208,宝山,淞宝,宝林一村电梯房大两房 近地铁3号线宝杨路站,288万,2室1厅 | 61.52平米 | 东 | 简装 | 高楼层(共18层) | 1994年建 | 塔楼,https://image1.ljcdn.com/310000-inspection/pc1_joeHx0zwa.jpg.296x216.jpg
20200208,宝山,淞宝,精装修，双南全明，不临街，房型周正,270万,2室1厅 | 66.42平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_VTfn2w5ou.jpg.296x216.jpg
20200208,宝山,淞宝,宝山一村，一房一厅，房型正气，价格可以谈房主自荐,160万,1室1厅 | 41.95平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_dTD6JBhwg.jpg.296x216.jpg
20200208,宝山,淞宝,一梯两户，精装修，格局方正，全明户型房主自荐,220万,1室1厅 | 52.47平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Wf4Tbl1hQ.jpg.296x216.jpg
20200208,宝山,淞宝,精装修四楼三房 满五唯一 家具家电全留下 诚心出售,295万,3室1厅 | 64.73平米 | 南 北 | 精装 | 中楼层(共6层) | 1990年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_XyP5OGyBj.jpg.296x216.jpg
20200208,宝山,淞宝,南北两房精装修 楼层好 一梯两户不把边,240万,2室1厅 | 57.84平米 | 南 北 | 精装 | 中楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_o8boLl5Bc.jpg.296x216.jpg
